content;tokens;tokens_ready;text;polarity;sentiment
@Fbx_ar @alextham878 Pertamina yg nanggung selisihnya;['nanggung', 'selisihnya'];['nanggung', 'selisih'];nanggung selisih;-4;0
@yoyocck @tijabar Pernah baca memang ada aturan bahwa swasta tidak boleh menjual lebih rendah dari harga Pertamina. Entah apa tujuannya peraturan itu.;['baca', 'aturan', 'swasta', 'menjual', 'rendah', 'harga', 'tujuannya', 'peraturan'];['baca', 'atur', 'swasta', 'jual', 'rendah', 'harga', 'tuju', 'atur'];baca atur swasta jual rendah harga tuju atur;13;1
Kunjungan Kapolres Metro Bekasi KBP. GIDION ARIF SETYAWAN beserta Dandim 0509 Kabupaten Bekasi LETKOL INF. M. HORISON RAMADHAN, dalam rangka pengecekan SPBU pasca Peralihan kenaikan harga Bahan Bakar Minyak di SPBU Pertamina Kel Kebalen Kec Babelan Bekasi. Minggu (4/9/2022) https://t.co/nDF8OBKzF8;['kunjungan', 'kapolres', 'metro', 'bekasi', 'kbp', 'gidion', 'arif', 'setyawan', 'beserta', 'dandim', 'kabupaten', 'bekasi', 'letkol', 'inf', 'horison', 'ramadhan', 'rangka', 'pengecekan', 'spbu', 'pasca', 'peralihan', 'kenaikan', 'harga', 'bahan', 'bakar', 'minyak', 'spbu', 'kel', 'kebalen', 'kec', 'babelan', 'bekasi', 'minggu'];['kunjung', 'kapolres', 'metro', 'bekas', 'kbp', 'gidion', 'arif', 'setyawan', 'dandim', 'kabupaten', 'bekas', 'letkol', 'inf', 'horison', 'ramadhan', 'rangka', 'kece', 'spbu', 'pasca', 'alih', 'harga', 'bahan', 'bakar', 'minyak', 'spbu', 'kel', 'balen', 'kec', 'babelan', 'bekas', 'minggu'];kunjung kapolres metro bekas kbp gidion arif setyawan dandim kabupaten bekas letkol inf horison ramadhan rangka kece spbu pasca alih harga bahan bakar minyak spbu kel balen kec babelan bekas minggu;25;1
@VIVAcoid 🤣🤣🤣 @pertamina katanya tidur aja untung!! Bacot aja kau!!;['tidur', 'untung', 'bacot'];['tidur', 'untung', 'bacot'];tidur untung bacot;9;1
@pertamina mending lu bubar aja deh, dari pada ga bisa bersaing sama swasta terus mainnya kotor gini. https://t.co/bz0kA5dSg0;['mending', 'bubar', 'deh', 'bersaing', 'swasta', 'mainnya', 'kotor'];['mending', 'bubar', 'deh', 'saing', 'swasta', 'main', 'kotor'];mending bubar deh saing swasta main kotor;-1;0
Isukan mun aya nu jual BBM leuwih murah ti pertamina ulah di viralkeun nya... sok iri Pertamina mah... https://t.co/vQgLvtdBiR;['isukan', 'mun', 'aya', 'jual', 'bbm', 'leuwih', 'murah', 'ulah', 'viralkan', 'nya', 'sok', 'iri', 'mah'];['isu', 'mun', 'aya', 'jual', 'bbm', 'leuwih', 'murah', 'ulah', 'viralkan', 'nya', 'sok', 'iri', 'mah'];isu mun aya jual bbm leuwih murah ulah viralkan nya sok iri mah;-1;0
Petronas Melaporkan Laba yang Lebih Tinggi, Apa Kabar Pertamina? https://t.co/b1OO4wfNp2 https://t.co/3SCn7lphA2;['petronas', 'melaporkan', 'laba', 'kabar'];['petronas', 'lapor', 'laba', 'kabar'];petronas lapor laba kabar;8;1
Berani taruhanlah.... sebentar lagi ada berita  Pertamina Cetak Laba Meningkat  🤣 #PemerintahanAmatir;['berani', 'taruhanlah', 'sebentar', 'berita', 'cetak', 'laba', 'meningkat', 'pemerintahanamatir'];['berani', 'taruh', 'sebentar', 'berita', 'cetak', 'laba', 'tingkat', 'pemerintahanamatir'];berani taruh sebentar berita cetak laba tingkat pemerintahanamatir;3;1
@wonoxs @Avilaspirit1 @tyogung @AnthonyBudiawan Itu pertamina masih harga 1 September belom 3 September 14.3o WIB nder...;['harga', 'september', 'september', 'wib', 'nder'];['harga', 'september', 'september', 'wib', 'nder'];harga september september wib nder;3;1
Perbandingan Harga BBM Pertamina, Shell, Vivo dan BP AKR, Paling Murah Rp8.900: Apabila dibandingkan dengan BBM dari SPBU swasta seperti Vivo, Shell atau pun BP AKR, rupanya terdapat selisih yang makin tidak signifikan. Berikut rinciannya. https://t.co/nwjCVxfTdX https://t.co/3sr96ZsRir;['perbandingan', 'harga', 'bbm', 'shell', 'akr', 'murah', 'dibandingkan', 'bbm', 'spbu', 'swasta', 'shell', 'akr', 'selisih', 'signifikan', 'rinciannya'];['banding', 'harga', 'bbm', 'shell', 'akr', 'murah', 'banding', 'bbm', 'spbu', 'swasta', 'shell', 'akr', 'selisih', 'signifikan', 'rinciannya'];banding harga bbm shell akr murah banding bbm spbu swasta shell akr selisih signifikan rinciannya;8;1
Pasca-Harga Naik, Pertamina Pastikan Stok BBM Aman https://t.co/szxNc1ePmo https://t.co/EMejAsRdiJ;['pasca', 'harga', 'pastikan', 'stok', 'bbm', 'aman'];['pasca', 'harga', 'stok', 'bbm', 'aman'];pasca harga stok bbm aman;0;1
@BisKota_ Mau nanya, apa RON  89 nya Vivo lebih bagus dari RON 90 nya Pertamina?;['nanya', 'ron', 'nya', 'bagus', 'ron', 'nya'];['nanya', 'ron', 'nya', 'bagus', 'ron', 'nya'];nanya ron nya bagus ron nya;1;1
@worksfess pertamina tapi jabatannya yang turun langsung ke laut;['jabatannya', 'turun', 'langsung', 'laut'];['jabat', 'turun', 'langsung', 'laut'];jabat turun langsung laut;1;1
Kalo rakyat milih isi BBM selain Pertamina jangan salahin rakyat ya. Realistis ajalah, kita juga butuh pengiritan. https://t.co/VSYOd8t1v3;['rakyat', 'milih', 'isi', 'bbm', 'salah', 'rakyat', 'realistis', 'butuh', 'pengiritan'];['rakyat', 'milih', 'isi', 'bbm', 'salah', 'rakyat', 'realistis', 'butuh', 'irit'];rakyat milih isi bbm salah rakyat realistis butuh irit;-3;0
Iya. Tadi gue ke vivo yg di Mt. Haryono juga udah gini, jadinya ke pertamina hadeehh gak bisa liat rakjel seneng dikit langsung libas. Sianjeng 🙄 https://t.co/mFWETyqJwE;['iya', 'haryono', 'hadeehh', 'liat', 'rakjel', 'seneng', 'dikit', 'langsung', 'libas', 'sianjeng'];['iya', 'haryono', 'hadeehh', 'liat', 'rakjel', 'neng', 'dikit', 'langsung', 'libas', 'sianjeng'];iya haryono hadeehh liat rakjel neng dikit langsung libas sianjeng;6;1
@PapersBoy Padahal Vivo jual harga segitu wajar, dia jual ron 89, Setar pertalite khusus nya Pertamina kemarin, kok jd kebakaran jenggot ya?🤣;['jual', 'harga', 'segitu', 'wajar', 'jual', 'ron', 'setar', 'pertalite', 'khusus', 'nya', 'kemarin', 'kebakaran', 'jenggot'];['jual', 'harga', 'segitu', 'wajar', 'jual', 'ron', 'tar', 'pertalite', 'khusus', 'nya', 'kemarin', 'bakar', 'jenggot'];jual harga segitu wajar jual ron tar pertalite khusus nya kemarin bakar jenggot;6;1
Akhirnya nyoba ngisi bbm shell super. Yang katanya kualitas sama dengan pertamax. Bau bbm nya emang beda sih dibanding pertamina. Beli 33.000 dapat 2.15 liter https://t.co/3BLVA68hFU;['nyoba', 'mengisi', 'bbm', 'shell', 'super', 'kualitas', 'pertamax', 'bau', 'bbm', 'nya', 'beda', 'sih', 'dibanding', 'beli', 'liter'];['nyoba', 'isi', 'bbm', 'shell', 'super', 'kualitas', 'pertamax', 'bau', 'bbm', 'nya', 'beda', 'sih', 'banding', 'beli', 'liter'];nyoba isi bbm shell super kualitas pertamax bau bbm nya beda sih banding beli liter;8;1
Selamat Hari Pelanggan Nasional ya #DEXFriends! MinDex mau ucapin terimakasih buat kamu yang sudah setia pakai Pertamina Dex dan Dexlite! #DexCommunity #FriendsWithDex #FWD #DexSeriesID #DurableEngineExtremePerformance #DieselHematBertenaga;['selamat', 'pelanggan', 'nasional', 'dexfriends', 'mindex', 'terimakasih', 'setia', 'pakai', 'dex', 'dexlite', 'dexcommunity', 'friendswithdex', 'fwd', 'dexseriesid', 'durableengineextremeperformance', 'dieselhematbertenaga'];['selamat', 'langgan', 'nasional', 'dexfriends', 'mindex', 'terimakasih', 'setia', 'pakai', 'dex', 'dexlite', 'dexcommunity', 'friendswithdex', 'fwd', 'dexseriesid', 'durableengineextremeperformance', 'dieselhematbertenaga'];selamat langgan nasional dexfriends mindex terimakasih setia pakai dex dexlite dexcommunity friendswithdex fwd dexseriesid durableengineextremeperformance dieselhematbertenaga;8;1
Yg bobrok pertamina yg suru nanggung rakyat? Huhu https://t.co/t1dBrIMLWV;['bobrok', 'suruh', 'nanggung', 'rakyat', 'huhu'];['bobrok', 'suruh', 'nanggung', 'rakyat', 'huhu'];bobrok suruh nanggung rakyat huhu;-7;0
Sehari setelah Presiden Joko Widodo mengumumkan kenaikan harga BBM, Pertamina masih jadi topik perbincangan hangat di Twitter. https://t.co/Kfrj4rcj53;['sehari', 'presiden', 'joko', 'widodo', 'mengumumkan', 'kenaikan', 'harga', 'bbm', 'topik', 'perbincangan', 'hangat', 'twitter'];['presiden', 'joko', 'widodo', 'harga', 'bbm', 'topik', 'bincang', 'hangat', 'twitter'];presiden joko widodo harga bbm topik bincang hangat twitter;12;1
Aplikasi sampah mypertamina @pertamina  isi silinder gak bisa di Aplikasi ribet bosss @jokowi aneh2 aja kebijakamu @pertamina  @erickthohir  Bikin susah orang di kampung isi isi ini. https://t.co/RIxxllzWlw;['aplikasi', 'sampah', 'mypertamina', 'isi', 'silinder', 'aplikasi', 'ribet', 'bos', 'aneh', 'kebijakannya', 'susah', 'orang', 'kampung', 'isi', 'isi'];['aplikasi', 'sampah', 'mypertamina', 'isi', 'silinder', 'aplikasi', 'ribet', 'bos', 'aneh', 'bijak', 'susah', 'orang', 'kampung', 'isi', 'isi'];aplikasi sampah mypertamina isi silinder aplikasi ribet bos aneh bijak susah orang kampung isi isi;-3;0
@Hilmi28 Korean pertamina ngak mau berkembang  dan berinivetasi di luar ngak sperti petronas yg berani berinvestasi dan mengelola minyak di luar kayak Timur Tengah;['korean', 'berkembang', 'berinvestasi', 'petronas', 'berani', 'berinvestasi', 'mengelola', 'minyak', 'kayak', 'timur'];['korean', 'kembang', 'investasi', 'petronas', 'berani', 'investasi', 'kelola', 'minyak', 'kayak', 'timur'];korean kembang investasi petronas berani investasi kelola minyak kayak timur;0;1
@Yoe_lairsan @PartaiSocmed Semua SPBU resmi pertamina dari sabang sampe merauke harganya sama kok, boleh di cek.. Diluar itu ya ga tau deh hehe;['spbu', 'resmi', 'sabang', 'merauke', 'harganya', 'cek', 'diluar', 'tau', 'deh', 'hehe'];['spbu', 'resmi', 'sabang', 'merauke', 'harga', 'cek', 'tau', 'deh', 'hehe'];spbu resmi sabang merauke harga cek tau deh hehe;-3;0
@JSuryoP1 Cerdas lah pak, cerdas membohongi sih namanya. Mengapa VIVO bisa jul segitu sudah untung sementara pertamina setinggi 10000 jatuhnya masih rugi??? Subsidi ini post keuangan beneran atau abal2!;['cerdas', 'cerdas', 'membohongi', 'sih', 'namanya', 'jul', 'segitu', 'untung', 'jatuhnya', 'rugi', 'subsidi', 'post', 'keuangan', 'beneran', 'abal'];['cerdas', 'cerdas', 'bohong', 'sih', 'nama', 'jul', 'segitu', 'untung', 'jatuh', 'rugi', 'subsidi', 'post', 'uang', 'beneran', 'abal'];cerdas cerdas bohong sih nama jul segitu untung jatuh rugi subsidi post uang beneran abal;-6;0
nah ini, pertamina masih rugi aja nih? gak mau go public aja gitu biar ketauan 😁 https://t.co/xIkzb9jnhv;['rugi', 'nih', 'public', 'gitu', 'biar', 'ketauan'];['rugi', 'nih', 'public', 'gitu', 'biar', 'tau'];rugi nih public gitu biar tau;-8;0
@Dandhy_Laksono di pengecer pertamini harga per liter nya 12rb - 13rb untuk pertalite. pdhal pertamini itu pengecer yg dinaungi sama pertamina yah ? jd berasa gak yakin sama BBM satu harga 😵;['pengecer', 'pertamini', 'harga', 'liter', 'nya', 'pertalite', 'pdhal', 'pertamini', 'pengecer', 'dinaungi', 'yah', 'berasa', 'bbm', 'harga'];['ecer', 'pertamini', 'harga', 'liter', 'nya', 'pertalite', 'pdhal', 'pertamini', 'ecer', 'naung', 'yah', 'asa', 'bbm', 'harga'];ecer pertamini harga liter nya pertalite pdhal pertamini ecer naung yah asa bbm harga;3;1
@worksfess Kerja di perkebunan, kerja di pertamina, freeport, kerja di repsol. Yaa semacam itulah nder;['kerja', 'perkebunan', 'kerja', 'freeport', 'kerja', 'repsol', 'yaa', 'nder'];['kerja', 'kebun', 'kerja', 'freeport', 'kerja', 'repsol', 'yaa', 'nder'];kerja kebun kerja freeport kerja repsol yaa nder;2;1
VIDEO: Pertamina NRE Akan Bangun Pembangkit Listrik Tenaga Angin di Sumba dan Banten https://t.co/w52PoDuX8e;['video', 'nre', 'bangun', 'pembangkit', 'listrik', 'tenaga', 'angin', 'sumba', 'banten'];['video', 'nre', 'bangun', 'bangkit', 'listrik', 'tenaga', 'angin', 'sumba', 'banten'];video nre bangun bangkit listrik tenaga angin sumba banten;5;1
@eradotid @pertamina jualan di kampung sendiri aja rugi molok dan ga berani bersaing, gimana mo jualan di negeri orang... Udah monopoli aja masih rugi. Kocak...kocak...;['jualan', 'kampung', 'rugi', 'molok', 'berani', 'bersaing', 'gimana', 'jualan', 'negeri', 'orang', 'monopoli', 'rugi', 'kocak', 'kocak'];['jual', 'kampung', 'rugi', 'molok', 'berani', 'saing', 'gimana', 'jual', 'negeri', 'orang', 'monopoli', 'rugi', 'kocak', 'kocak'];jual kampung rugi molok berani saing gimana jual negeri orang monopoli rugi kocak kocak;-9;0
"@Dennysiregar7 Fakta &amp; emang bener2 fakta banyak BBM subsidi salah sasaran... Sering banget di pertamina lihat orang pakai mobil &amp; motor CC nya gede kok pakai BBM subsidi, sehingga sering kali &amp; bnyak masyarakat yg emang seharusnya mendapat BBM subsidi malah habis. BBM subsidi tepat sasaran";['fakta', 'fakta', 'bbm', 'subsidi', 'salah', 'sasaran', 'banget', 'lihat', 'orang', 'pakai', 'mobil', 'motor', 'nya', 'pakai', 'bbm', 'subsidi', 'kali', 'bnyak', 'masyarakat', 'bbm', 'subsidi', 'habis', 'bbm', 'subsidi', 'sasaran'];['fakta', 'fakta', 'bbm', 'subsidi', 'salah', 'sasar', 'banget', 'lihat', 'orang', 'pakai', 'mobil', 'motor', 'nya', 'pakai', 'bbm', 'subsidi', 'kali', 'bnyak', 'masyarakat', 'bbm', 'subsidi', 'habis', 'bbm', 'subsidi', 'sasar'];fakta fakta bbm subsidi salah sasar banget lihat orang pakai mobil motor nya pakai bbm subsidi kali bnyak masyarakat bbm subsidi habis bbm subsidi sasar;-2;0
Jadi saya curiga, tahun 2024 kan udah mau capres, terus penguasa goblok butuh modal dana capres sebanyak Rp.300 T, akhirnya subsidi pertamina di korupsi ?;['curiga', 'capres', 'penguasa', 'goblok', 'butuh', 'modal', 'dana', 'capres', 'subsidi', 'korupsi'];['curiga', 'capres', 'kuasa', 'goblok', 'butuh', 'modal', 'dana', 'capres', 'subsidi', 'korupsi'];curiga capres kuasa goblok butuh modal dana capres subsidi korupsi;-4;0
@zyozyo66 Pak tolong rekrut temen saya jadi pegawai pertamina 😂;['tolong', 'rekrut', 'temen', 'pegawai'];['tolong', 'rekrut', 'temen', 'pegawai'];tolong rekrut temen pegawai;6;1
@jokowi @KementerianESDM @pertamina @DPR_RI @DPDRI Kenyataannya kami di Garut Selatan harga eceran Pertalite 14.000 / liter. Karena jauh dari SPBU. Percaya gak ? atau tidak percaya? Datang aja kesini ke kampung langsung.;['kenyataannya', 'garut', 'selatan', 'harga', 'eceran', 'pertalite', 'liter', 'spbu', 'percaya', 'percaya', 'kesini', 'kampung', 'langsung'];['nyata', 'garut', 'selatan', 'harga', 'ecer', 'pertalite', 'liter', 'spbu', 'percaya', 'percaya', 'kesini', 'kampung', 'langsung'];nyata garut selatan harga ecer pertalite liter spbu percaya percaya kesini kampung langsung;12;1
@Abenk12356649 @nusantara_one Waktu jadi gubernur DKI teriak maling hanya untuk orang kecil, giliran jabat di Pertamina, hanya bisa diam, melempem kaya tai keinjak truk;['gubernur', 'dki', 'teriak', 'maling', 'orang', 'giliran', 'jabat', 'diam', 'melempem', 'kaya', 'tai', 'keinjak', 'truk'];['gubernur', 'dki', 'teriak', 'maling', 'orang', 'gilir', 'jabat', 'diam', 'melempem', 'kaya', 'tai', 'injak', 'truk'];gubernur dki teriak maling orang gilir jabat diam melempem kaya tai injak truk;-7;0
@eradotid Pertamina harus untung min, pokoknya harus;['untung', 'admin', 'pokoknya'];['untung', 'admin', 'pokok'];untung admin pokok;6;1
@m_yanto_baemo @Komodo_jogging @RamliRizal Gmna gk mau susah spbu nya aja,, wktu subsidi jarang di pasang tulisan,,  giliran  naik baru bnyak  yg pasang tulisan  subsidi dan non subsidi.. revolusi mental apa yg di jalankan jokowi ini klo oknum orang  pertamina membiarkan ini;['gmna', 'susah', 'spbu', 'nya', 'wktu', 'subsidi', 'jarang', 'pasang', 'tulisan', 'giliran', 'bnyak', 'pasang', 'tulisan', 'subsidi', 'non', 'subsidi', 'revolusi', 'mental', 'jalankan', 'jokowi', 'oknum', 'orang', 'membiarkan'];['gmna', 'susah', 'spbu', 'nya', 'wktu', 'subsidi', 'jarang', 'pasang', 'tulis', 'gilir', 'bnyak', 'pasang', 'tulis', 'subsidi', 'non', 'subsidi', 'revolusi', 'mental', 'jalan', 'jokowi', 'oknum', 'orang', 'biar'];gmna susah spbu nya wktu subsidi jarang pasang tulis gilir bnyak pasang tulis subsidi non subsidi revolusi mental jalan jokowi oknum orang biar;6;1
@duarr36587068 @Alminsulim @ndtb0y @Putrakantong @MarahIchsan @aindraku Bodoh kalian semua, Pertamina gak untung tuh karna di Indonesia banyak warganya yang pergi pake kendaraan gajelas mau kemana tujuannya cuma buat nangis dijalan;['bodoh', 'untung', 'indonesia', 'warganya', 'pergi', 'pake', 'kendaraan', 'gajelas', 'kemana', 'tujuannya', 'nangis', 'dijalan'];['bodoh', 'untung', 'indonesia', 'warga', 'pergi', 'pake', 'kendara', 'gajelas', 'tuju', 'nang', 'jalan'];bodoh untung indonesia warga pergi pake kendara gajelas tuju nang jalan;-3;0
Didaerah kami hanya ada pertamina 😭😭😭 https://t.co/o5B7Jkxv7e;['didaerah'];['daerah'];daerah;0;1
@jempolnvdtech @whtevryousay @SayurLodehRiego @PartaiSocmed Tapi ndk semua kota seindonesia ada spbu tersebut, contoh kota malang hanya ada pertamina,shell dn bp;['kota', 'seindonesia', 'spbu', 'contoh', 'kota', 'malang', 'shell'];['kota', 'indonesia', 'spbu', 'contoh', 'kota', 'malang', 'shell'];kota indonesia spbu contoh kota malang shell;-7;0
@Te_Ge_Es @beembooss harus nya memang seperti itu, dari segi berhitung aja gagal.... apa lagi jadi pemimpin nya pertamina🙊;['nya', 'segi', 'berhitung', 'gagal', 'pemerintah', 'nya'];['nya', 'segi', 'hitung', 'gagal', 'perintah', 'nya'];nya segi hitung gagal perintah nya;-7;0
work! ada yg pernah dftar internship pertamina? itu nunggu pengumuman nya lama ga ya setelah dftar? cek diemail apa di web pertamina nya?;['work', 'dftar', 'internship', 'nunggu', 'pengumuman', 'nya', 'dftar', 'cek', 'diemail', 'web', 'nya'];['work', 'dftar', 'internship', 'nunggu', 'nya', 'dftar', 'cek', 'email', 'web', 'nya'];work dftar internship nunggu nya dftar cek email web nya;-3;0
@widhikankebluk @nanangismantoro @HerdaruW @Adiet_Setiawan @RadioElshinta pertamina juga banyak impor, dr singapur, arab, malaysia. katanya sih kebutuhan lebih besar darpada produksi.;['impor', 'singapur', 'arab', 'malaysia', 'sih', 'kebutuhan', 'darpada', 'produksi'];['impor', 'singapur', 'arab', 'malaysia', 'sih', 'butuh', 'darpada', 'produksi'];impor singapur arab malaysia sih butuh darpada produksi;-5;0
Lak ws bahas pertamina utowo pln iki paling lucu pol mesti https://t.co/xWooxnsRvy;['lak', 'bahas', 'utowo', 'pln', 'lucu', 'pol', 'mesti'];['lak', 'bahas', 'utowo', 'pln', 'lucu', 'pol', 'mesti'];lak bahas utowo pln lucu pol mesti;-1;0
@bintilbintil @txtfrombrand Slogan ini cocok, selain pertamina PL* pun juga denda masyarakat yang pakai listrik tenaga surya;['slogan', 'cocok', 'denda', 'masyarakat', 'pakai', 'listrik', 'tenaga', 'surya'];['slogan', 'cocok', 'denda', 'masyarakat', 'pakai', 'listrik', 'tenaga', 'surya'];slogan cocok denda masyarakat pakai listrik tenaga surya;10;1
@MKZxRoel @lamarreofficial @Megatop99 @jokowi @pertamina ayo main ke sini gan, biar taw berapa harganya.....bukan maslah harganya tapi ketersediaan barangnya yang dipertanyakan....13 rb...sekarang udah 15 rb .....;['ayo', 'main', 'gan', 'biar', 'taw', 'harganya', 'maslah', 'harganya', 'ketersediaan', 'barangnya'];['ayo', 'main', 'gan', 'biar', 'taw', 'harga', 'mas', 'harga', 'sedia', 'barang'];ayo main gan biar taw harga mas harga sedia barang;15;1
@a_doni95 Sebelum ke situ: - Audit pertamina, brp sebenarnya harga keekonomian BBM. Mengapa vivo bs relatif murah tanpa subsidi. - prioritas alokasi APBN. Review proyek2 mubazir dan lembaga2 mubazir. - kedepankan keadilan sosial.;['situ', 'audit', 'harga', 'keekonomian', 'bbm', 'relatif', 'murah', 'subsidi', 'prioritas', 'alokasi', 'apbn', 'review', 'proyek', 'mubazir', 'lembaga', 'mubazir', 'kedepankan', 'keadilan', 'sosial'];['situ', 'audit', 'harga', 'ekonomi', 'bbm', 'relatif', 'murah', 'subsidi', 'prioritas', 'alokasi', 'apbn', 'review', 'proyek', 'mubazir', 'lembaga', 'mubazir', 'adil', 'sosial'];situ audit harga ekonomi bbm relatif murah subsidi prioritas alokasi apbn review proyek mubazir lembaga mubazir adil sosial;11;1
@Dennysiregar7 apakah tidak ada cara lain untuk menekan cost produksi BBM pertamina untuk menekan harga jual sehingga masyarkat dapat mendapatkan BBM dengan harga murah.;['menekan', 'cost', 'produksi', 'bbm', 'menekan', 'harga', 'jual', 'masyarkat', 'bbm', 'harga', 'murah'];['tekan', 'cost', 'produksi', 'bbm', 'tekan', 'harga', 'jual', 'masyarkat', 'bbm', 'harga', 'murah'];tekan cost produksi bbm tekan harga jual masyarkat bbm harga murah;12;1
Ikut Festival Tong Tong di Belanda, 175 Produk Terbaik UMKM Binaan Pertamina Siap Go Global, keren UMKM semakin didepan nih 🥰👍🏻 https://t.co/slf7lj8TkX;['festival', 'tong', 'tong', 'belanda', 'produk', 'terbaik', 'umkm', 'binaan', 'global', 'keren', 'umkm', 'didepan', 'nih'];['festival', 'tong', 'tong', 'belanda', 'produk', 'umkm', 'bina', 'global', 'keren', 'umkm', 'nih'];festival tong tong belanda produk umkm bina global keren umkm nih;3;1
"SETELAH BIKIN KEBOHONGAN SOAL BESAR NILAI SUBSIDI... SEKARANG NARASINYA NYALAHIN RAKYAT... GA SEKALIAN BILANG : IKN HARUS SEGERA DIBANGUN PERTAMINA MUSTI MODALIN INI ITU DITAGIH BUNGA UTANG SAMA CINA MBO E MINTA TERUS JABATAN &amp; GAJI GEDE https://t.co/f0zCQ0Y2XY";['kebohongan', 'nilai', 'subsidi', 'narasinya', 'salah', 'rakyat', 'bilang', 'ikn', 'dibangun', 'musti', 'modaal', 'ditagih', 'bunga', 'utang', 'cina', 'mbo', 'jabatan', 'gaji'];['bohong', 'nilai', 'subsidi', 'narasi', 'salah', 'rakyat', 'bilang', 'ikn', 'bangun', 'musti', 'modaal', 'tagih', 'bunga', 'utang', 'cina', 'mbo', 'jabat', 'gaji'];bohong nilai subsidi narasi salah rakyat bilang ikn bangun musti modaal tagih bunga utang cina mbo jabat gaji;-15;0
@YoYoAyo17845 @fenugoo99 @PartaiSocmed Apasih ga jelas. Mau pertamina bangkrut juga gapeduli. Bumn pasti kalah kok kalau adu sama swasta tanpa bantuan negara. Liat aja garuda, kalo ga di bailout juga bangkrut itu.;['bangkrut', 'gapeduli', 'bumn', 'kalah', 'adu', 'swasta', 'bantuan', 'negara', 'liat', 'garuda', 'bailout', 'bangkrut'];['bangkrut', 'gapeduli', 'bumn', 'kalah', 'adu', 'swasta', 'bantu', 'negara', 'liat', 'garuda', 'bailout', 'bangkrut'];bangkrut gapeduli bumn kalah adu swasta bantu negara liat garuda bailout bangkrut;-12;0
@worksfess Pertamina Dipinjemin mobil + rumah;['pinjam', 'mobil', 'rumah'];['pinjam', 'mobil', 'rumah'];pinjam mobil rumah;4;1
Rajanya Turun Coy #pertalite #bbmnaik #BBM_NaikJokowiTurun #meme #pertamina #BBM_BenarBenarMeroket https://t.co/8KfYJpu8F9;['rajanya', 'turun', 'coy', 'pertalite', 'bbmnaik', 'bbm_naikjokowiturun', 'meme', 'bbm_benarbenarmeroket'];['raja', 'turun', 'coy', 'pertalite', 'bbmnaik', 'bbm naikjokowiturun', 'meme', 'bbm benarbenarmeroket'];raja turun coy pertalite bbmnaik bbm naikjokowiturun meme bbm benarbenarmeroket;1;1
Pertamina ojo dibanding-bandingke… saing-saingke… yo mesti kalah… https://t.co/tciHckchk0;['ojo', 'dibanding', 'banding', 'saing', 'saingke', 'mesti', 'kalah'];['ojo', 'banding', 'banding', 'saing', 'saingke', 'mesti', 'kalah'];ojo banding banding saing saingke mesti kalah;-1;0
@LahrianSyahilla Keren!! Semoga makin maju lagi UMKM pertamina;['keren', 'semoga', 'maju', 'umkm'];['keren', 'moga', 'maju', 'umkm'];keren moga maju umkm;1;1
@PapersBoy Katanya Pertamina merugi terus, kenapa ga gulung tikar aja? Biar pihak swasta yang jualan bbm;['merugi', 'gulung', 'tikar', 'biar', 'swasta', 'jualan', 'bbm'];['rugi', 'gulung', 'tikar', 'biar', 'swasta', 'jual', 'bbm'];rugi gulung tikar biar swasta jual bbm;-5;0
Ini ide bego bego an ya Kenapa Pemerintah/ Pertamina gak beli BBM di VIVO aja ya, terus dijual ke rakyat, untung untung 1.000 - 2.000 per liter gpp dah, kan enak Subsidi tetap di cabut, harga BBM stabil, Inflasi Stabil, Ekonomi Stabil;['ide', 'bego', 'bego', 'pemerintah', 'beli', 'bbm', 'dijual', 'rakyat', 'untung', 'untung', 'liter', 'gapapa', 'enak', 'subsidi', 'cabut', 'harga', 'bbm', 'stabil', 'inflasi', 'stabil', 'ekonomi', 'stabil'];['ide', 'bego', 'bego', 'perintah', 'beli', 'bbm', 'jual', 'rakyat', 'untung', 'untung', 'liter', 'gapapa', 'enak', 'subsidi', 'cabut', 'harga', 'bbm', 'stabil', 'inflasi', 'stabil', 'ekonomi', 'stabil'];ide bego bego perintah beli bbm jual rakyat untung untung liter gapapa enak subsidi cabut harga bbm stabil inflasi stabil ekonomi stabil;11;1
@awemany Padahal gak terlalu ngaruh, Ngaruhpun cuma di kota besar doang, Masih untung loh pertamina, buset dah takut banget wkwkwkk;['ngaruh', 'ngaruhpun', 'kota', 'untung', 'loh', 'parah', 'takut', 'banget', 'wkwkwkk'];['ngaruh', 'ngaruhpun', 'kota', 'untung', 'loh', 'parah', 'takut', 'banget', 'wkwkwkk'];ngaruh ngaruhpun kota untung loh parah takut banget wkwkwkk;-1;0
#BeritaTerkini Jual BBM Lebih Murah dari Pertamina, Ini Daftar Lokasi SPBU Vivo https://t.co/mekCRCtSxq #news #inforiau #infoterkini #riauinfo;['beritaterkini', 'jual', 'bbm', 'murah', 'daftar', 'lokasi', 'spbu', 'news', 'inforiau', 'infoterkini', 'riauinfo'];['beritaterkini', 'jual', 'bbm', 'murah', 'daftar', 'lokasi', 'spbu', 'news', 'inforiau', 'infoterkini', 'riauinfo'];beritaterkini jual bbm murah daftar lokasi spbu news inforiau infoterkini riauinfo;5;1
